"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 01:36:13 CEST 2019","Tue Jun 04 01:36:13 CEST 2019","12","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","","com.wallapop.functionality.delivery.behaviour.DeliveryItemWeightTest","delivery_01_addWeightFromItemDetail_Success","[C579] Delivery item detail: Add and Remove weight for my own items",""
"broken","Tue Jun 04 01:36:13 CEST 2019","Tue Jun 04 01:36:13 CEST 2019","22","","com.wallapop.functionality.delivery.behaviour.DeliveryPayItemTest","","com.wallapop.functionality.delivery.behaviour.DeliveryPayItemTest","payItem_postalCodeIsNotAllowed_paymentFailed","[C12558] Delivery pay: Buyer sends shipping offer with postal code not allowed",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","11","","ListingFeePurchaseTest","","ListingFeePurchaseTest","[C6441] Purchases: Listing Fee purchase","[C6441] Purchases: Listing Fee purchase",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","13","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","ActivesInbox_Actions_01_GoToConversationNumber_IsConversationDisplayed","Inbox actions - Active conversations: Go to conversation 3",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","13","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxActionsTest","ActivesInbox_Actions_06_SelectConversationByValue_IsConversationSelected","Inbox actions - Active conversations: Select a conversation by LASTMESSAGE_TEXT with value Hello",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","17","","User, SearchCG)","","User, SearchCG)","[C37160E] Save Searches: Launch a search from the list and check the filters in filters screen(SaveSearch_05_SaveTheSameSearchInDifferentLocation_IsSearchSaved","[C37160E] Save Searches: Launch a search from the list and check the filters in filters screen(SaveSearch_05_SaveTheSameSearchInDifferentLocation_IsSearchSaved",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","22","","User, String)","","User, String)","[C26851B] Onboarding: Select one favourite category but not save selection (Category: Bikes)(registerWallapopAccount_07_selectOneFavCategory_isSaveButtonDisplayed","[C26851B] Onboarding: Select one favourite category but not save selection (Category: Bikes)(registerWallapopAccount_07_selectOneFavCategory_isSaveButtonDisplayed",""
"broken","Tue Jun 04 01:36:26 CEST 2019","Tue Jun 04 01:36:26 CEST 2019","21","","OwnItemsTest","","OwnItemsTest","[C703] Profile items: Sell an item to a buyer and do the review","[C703] Profile items: Sell an item to a buyer and do the review",""
"broken","Tue Jun 04 01:36:23 CEST 2019","Tue Jun 04 01:36:23 CEST 2019","9","","com.wallapop.functionality.chat.conversation.behaviour.ConversationDataTest","","com.wallapop.functionality.chat.conversation.behaviour.ConversationDataTest","Conversation_Data_02_GoToConversation_IsConnectionToastsDisplayed","[C90B] Conversation data: Connection status toast",""
"broken","Tue Jun 04 01:36:31 CEST 2019","Tue Jun 04 01:36:31 CEST 2019","14","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","editProfile_01_EditAvatar_IsAvatarSet","[C692] Profile edition: Change user avatar",""
